,index,Medium_uniqueID,Value_g_l,Component,PubChem,Formula
0,0.0,MRL0000000,20.0,Glucose,5793.0,C6H12O6
13,13.0,MRL0000000,2.0033420000000003e-06,Biotin,171548.0,C10H16N2O3S
14,14.0,MRL0000000,0.0007419139999999999,pantothenate,443753.0,C18H32CaN2O10
15,15.0,MRL0000000,2.03044e-06,Folic acid,6037.0,C19H19N7O6
16,16.0,MRL0000000,0.00198176,Inositol,892.0,C6H12O6
17,17.0,MRL0000000,0.000393952,Niacin,938.0,C6H5NO2
18,18.0,MRL0000000,0.00020570999999999998,p-Aminobenzoic acid,978.0,C7H7NO2
19,19.0,MRL0000000,0.00033357239999999994,Pyridoxine,6019.0,C8H12ClNO3
20,20.0,MRL0000000,0.00018819999999999997,Riboflavin,493570.0,C17H20N4O6
21,21.0,MRL0000000,0.00031968,Thiamine,6202.0,C12H18Cl2N4OS
22,22.0,MRL0000000,20.0,Agar,71571511.0,C14H24O9
23,23.0,MRL0000000,0.035638,Canavanine,11957500.0,C5H14N4O7S
24,24.0,MRL0000001,0.1,Glucose,5793.0,C6H12O6
37,37.0,MRL0000001,2.0033420000000003e-06,Biotin,171548.0,C10H16N2O3S
38,38.0,MRL0000001,0.0007419139999999999,pantothenate,443753.0,C18H32CaN2O10
39,39.0,MRL0000001,2.03044e-06,Folic acid,6037.0,C19H19N7O6
40,40.0,MRL0000001,0.00198176,Inositol,892.0,C6H12O6
41,41.0,MRL0000001,0.000393952,Niacin,938.0,C6H5NO2
42,42.0,MRL0000001,0.00020570999999999998,p-Aminobenzoic acid,978.0,C7H7NO2
43,43.0,MRL0000001,0.00033357239999999994,Pyridoxine,6019.0,C8H12ClNO3
44,44.0,MRL0000001,0.00018819999999999997,Riboflavin,493570.0,C17H20N4O6
45,45.0,MRL0000001,0.00031968,Thiamine,6202.0,C12H18Cl2N4OS
46,46.0,MRL0000001,20.0,Agar,71571511.0,C14H24O9
47,47.0,MRL0000002,20.0,Glucose,5793.0,C6H12O6
60,60.0,MRL0000002,2.0033420000000003e-06,Biotin,171548.0,C10H16N2O3S
61,61.0,MRL0000002,0.0007419139999999999,pantothenate,443753.0,C18H32CaN2O10
62,62.0,MRL0000002,2.03044e-06,Folic acid,6037.0,C19H19N7O6
63,63.0,MRL0000002,0.00198176,Inositol,892.0,C6H12O6
64,64.0,MRL0000002,0.000393952,Niacin,938.0,C6H5NO2
65,65.0,MRL0000002,0.00020570999999999998,p-Aminobenzoic acid,978.0,C7H7NO2
66,66.0,MRL0000002,0.00033357239999999994,Pyridoxine,6019.0,C8H12ClNO3
67,67.0,MRL0000002,0.00018819999999999997,Riboflavin,493570.0,C17H20N4O6
68,68.0,MRL0000002,0.00031968,Thiamine,6202.0,C12H18Cl2N4OS
69,69.0,MRL0000002,20.0,Agar,71571511.0,C14H24O9
71,71.0,MRL0000003,20.0,Glucose,5793.0,C6H12O6
84,84.0,MRL0000003,2.0033420000000003e-06,Biotin,171548.0,C10H16N2O3S
85,85.0,MRL0000003,0.0007419139999999999,pantothenate,443753.0,C18H32CaN2O10
86,86.0,MRL0000003,2.03044e-06,Folic acid,6037.0,C19H19N7O6
87,87.0,MRL0000003,0.00198176,Inositol,892.0,C6H12O6
88,88.0,MRL0000003,0.000393952,Niacin,938.0,C6H5NO2
89,89.0,MRL0000003,0.00020570999999999998,p-Aminobenzoic acid,978.0,C7H7NO2
90,90.0,MRL0000003,0.00033357239999999994,Pyridoxine,6019.0,C8H12ClNO3
91,91.0,MRL0000003,0.00018819999999999997,Riboflavin,493570.0,C17H20N4O6
92,92.0,MRL0000003,0.00031968,Thiamine,6202.0,C12H18Cl2N4OS
93,93.0,MRL0000003,20.0,Agar,71571511.0,C14H24O9
94,94.0,MRL0000003,0.012660500000000002,Tris malate,86746583.0,C8H15NO8-2
95,95.0,MRL0000003,0.0024213999999999998,Beta glycerol,92043261.0,C3H7Na2O6P
96,96.0,MRL0000004,20.0,Glucose,5793.0,C6H12O6
97,99.0,MRL0000005,2.0,Glucose,5793.0,C6H12O6
98,102.0,MRL0000006,9.2,Glucose,5793.0,C6H12O6
106,110.0,MRL0000006,0.02,Inositol,892.0,C6H12O6
107,111.0,MRL0000006,0.0044,Thiamine,1130.0,C12H17N4OS+
108,112.0,MRL0000006,0.0012,Pyridoxine,1054.0,C8H11NO3
109,113.0,MRL0000006,0.00045794333683105983,pantothenate,443753.0,C18H32CaN2O10
110,114.0,MRL0000006,3e-05,Biotin,171548.0,C10H16N2O3S
111,115.0,MRL0000007,5.0,Glucose,5793.0,C6H12O6
112,118.0,MRL0000007,0.02,Histidine,6274.0,C6H9N3O2
113,119.0,MRL0000008,10.0,Glucose,5793.0,C6H12O6
114,122.0,MRL0000008,0.02,Histidine,6274.0,C6H9N3O2
115,123.0,MRL0000009,25.0,Glucose,5793.0,C6H12O6
116,126.0,MRL0000009,0.02,Histidine,6274.0,C6H9N3O2
117,127.0,MRL0000011,5.0,Glucose,5793.0,C6H12O6
129,139.0,MRL0000011,0.015,EDTA,6049.0,C10H16N2O8
130,140.0,MRL0000011,5e-05,Biotin,171548.0,C10H16N2O3S
131,141.0,MRL0000011,0.0009158866736621197,pantothenate,443753.0,C18H32CaN2O10
132,142.0,MRL0000011,0.001,Niacin,938.0,C6H5NO2
133,143.0,MRL0000011,0.025,Inositol,892.0,C6H12O6
